2016/02/17 22:50:58 [error] 4933#0: *1 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:54:49 [error] 4933#0: *35 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:55:27 [error] 4933#0: *35 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1455649200000&to=1455735600000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:55:31 [error] 4933#0: *35 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1455649200000&to=1455735600000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:55:32 [error] 4933#0: *35 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1455476400000&to=1456081200000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:55:33 [error] 4933#0: *35 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1455476400000&to=1456081200000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:57:42 [error] 4933#0: *49 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /api/events.php?from=1454266800000&to=1456772400000&utc_offset=-300&browser_timezone=Asia%2FKarachi HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082", referrer: "http://127.0.0.1:8082/"
2016/02/17 22:58:45 [error] 4933#0: *49 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 22:58:46 [error] 4933#0: *49 FastCGI sent in stderr: "PHP message: PHP Warning:  mysqli::mysqli(): (28000/1045): Access denied for user 'makkrisnru_serv'@'localhost' (using password: YES) in /raid/vugluskr/projects/_autoservice/app/__init.php on line 30" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:11:38 [error] 4933#0: *119 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:11:39 [error] 4933#0: *119 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET /index.php HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
2016/02/17 23:11:45 [error] 4933#0: *119 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting ';' in /raid/vugluskr/projects/_autoservice/app/auth.php on line 31" while reading response header from upstream, client: 127.0.0.1, server: test.local, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php5-fpm.sock:", host: "127.0.0.1:8082"
